2026-01-09 11:13:20,318 | src.api.main | INFO | 🚀 API de Gestão de Senhas iniciada
2026-01-09 11:15:13,728 | src.utils.excel_handler | INFO | Lidas 6 bases do arquivo data\bases.xlsx
2026-01-09 11:15:13,731 | src.api.routes | INFO | 📋 Listadas 6 empresas
2026-01-09 11:15:45,415 | src.utils.excel_handler | INFO | Lidas 6 bases do arquivo data\bases.xlsx
2026-01-09 11:15:45,416 | src.api.routes | INFO | 📋 Listadas 6 empresas
2026-01-09 11:15:47,473 | src.api.routes | INFO | 📨 Solicitação: hml por João Pedro (IP: 127.0.0.1)
2026-01-09 11:15:48,914 | src.automation.password_changer | INFO | Iniciando alteração para: hml (Solicitante: João Pedro, IP: 127.0.0.1)
2026-01-09 11:15:48,930 | src.utils.excel_handler | INFO | Lidas 6 bases do arquivo data\bases.xlsx
2026-01-09 11:16:01,853 | src.automation.browser_automation | INFO | Navegador iniciado com anti-detecção
2026-01-09 11:16:01,854 | src.automation.browser_automation | INFO | Navegando para: https://homologacao.a2wplataforma.com.br/
2026-01-09 11:16:05,502 | src.automation.browser_automation | INFO | Realizando login: hml.adm.geagro.joaolima@a2wplataforma.com.br
2026-01-09 11:16:13,777 | src.automation.browser_automation | INFO | Login realizado com sucesso
2026-01-09 11:16:13,778 | src.automation.browser_automation | INFO | Iniciando alteração de senha...
2026-01-09 11:16:51,547 | src.automation.browser_automation | INFO | Navegador fechado
2026-01-09 11:16:51,550 | src.automation.password_changer | ERROR | ❌ Erro ao alterar senha de hml: Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for get_by_role("tab", name="Alterar Senha")

2026-01-09 11:16:51,572 | src.api.routes | ERROR | ❌ Erro na alteração: Locator.click: Timeout 30000ms exceeded.
Call log:
  - waiting for get_by_role("tab", name="Alterar Senha")

2026-01-09 11:22:05,099 | src.api.main | INFO | 🛑 API encerrada
2026-01-09 11:23:44,895 | src.api.main | INFO | 🚀 API de Gestão de Senhas iniciada
2026-01-09 11:24:00,860 | src.utils.excel_handler | INFO | Lidas 6 bases do arquivo data\bases.xlsx
2026-01-09 11:24:00,862 | src.api.routes | INFO | 📋 Listadas 6 empresas
2026-01-09 11:24:18,655 | src.utils.excel_handler | INFO | Lidas 6 bases do arquivo data\bases.xlsx
2026-01-09 11:24:18,656 | src.api.routes | INFO | 📋 Listadas 6 empresas
2026-01-09 11:24:20,754 | src.api.routes | INFO | 📨 Solicitação: hml por João Pedro (IP: 127.0.0.1)
2026-01-09 11:24:21,179 | src.automation.password_changer | INFO | Iniciando alteração para: hml (Solicitante: João Pedro, IP: 127.0.0.1)
2026-01-09 11:24:21,195 | src.utils.excel_handler | INFO | Lidas 6 bases do arquivo data\bases.xlsx
2026-01-09 11:24:24,442 | src.automation.browser_automation | INFO | Navegador iniciado com anti-detecção
2026-01-09 11:24:24,442 | src.automation.browser_automation | INFO | Navegando para: https://homologacao.a2wplataforma.com.br/
2026-01-09 11:24:35,478 | src.automation.browser_automation | INFO | Realizando login: hml.adm.geagro.joaolima@a2wplataforma.com.br
2026-01-09 11:24:40,887 | src.automation.browser_automation | INFO | Login realizado com sucesso
2026-01-09 11:24:40,888 | src.automation.browser_automation | INFO | Iniciando alteração de senha...
2026-01-09 11:25:19,917 | src.automation.browser_automation | INFO | Navegador fechado
